Latitude,Longitude,Price,Type,Food,Venue,Sub Category
40.760309,-73.987532,,Quick Serve,American,,
40.758267,-73.985468,,Coffee,,,
40.760273,-73.983875,,Quick Serve,Pizza,,
,,,Café / Deli,,,
40.757705,-73.98946,,Consumables,Non-beverages,,
40.757408,-73.98423,,Full Serve,Italian,,
40.756508,-73.988042,,Café / Deli,,,
40.758759,-73.988695,,Café / Deli,,,
40.762674,-73.982095,,Full Serve,American,,
40.76228,-73.984164,,Full Serve,Italian,,
40.756983,-73.987081,,Full Serve,Italian,,
40.761346,-73.981901,,Catering,,,
40.758066,-73.983829,,Café / Deli,,,
40.763166,-73.985452,,Quick Serve,Mexican,,
40.758777,-73.983583,,Full Serve,Barbecue,,
40.758163,-73.989099,,Quick Serve,Pizza,,
40.761531,-73.986669,,Quick Serve,Chinese,,
40.757359,-73.987973,,Full Serve,Organic,,
40.75693,-73.986959,,Full Serve,Japanese,,
40.761571,-73.9829,,Full Serve,Italian,,
40.758108,-73.989139,,Coffee,,,
40.761014,-73.985052,,Catering,,,
40.76015,-73.988749,,Full Serve,Italian,,
,,,,,,
40.759351,-73.988864,,,,Theater,League
40.757436,-73.990254,,,,Comedy Club,
40.758704,-73.987294,,,,Theater,League
40.75866,-73.987146,,,,Theater,League
40.757968,-73.987532,,,,Theater,League
40.762999,-73.983922,,,,Nightclub,
40.756821,-73.988789,,,,Attractions / Amusement,
40.756845,-73.988843,,,,Movies,
40.758015,-73.987641,,,,Theater,League
40.758015,-73.987641,,,,Theater,League
40.758728,-73.987312,,,,Theater,League
40.757309,-73.987901,,,,Nightclub,
40.759936,-73.986381,,,,Theater,League
40.759974,-73.986428,,,,Theater,Broadway - Non-League
40.757369,-73.984096,,,,Theater,League
40.756747,-73.988659,,,,Attractions / Amusement,
40.757921,-73.987421,,,,Theater,League
40.760032,-73.988518,,,,Theater,Off-Broadway
40.7576,-73.989536,,,,Nightclub,
40.758201,-73.989095,,,,Nightclub,
40.762861,-73.983109,,,,Nightclub,
40.757847,-73.985009,,,,Attractions / Amusement,
40.76128,-73.984168,,,,Theater,Broadway - Non-League
40.76034,-73.989196,,,,Live Music,
40.760425,-73.989398,,,,Nightclub,
40.761574,-73.983962,,,,Theater,League
40.75886,-73.984843,,,,Comedy Club,
40.755119,-73.987638,,,,Theater,Off-Broadway
40.763117,-73.982979,,,,Theater,League
40.755616,-73.988038,,,,Theater,League
40.756324,-73.987652,,,,Theater,League
40.761599,-73.984489,,,,Nightclub,
40.761599,-73.984489,,,,Movies,
40.760369,-73.985413,,,,Theater,League
40.760358,-73.985428,,,,Theater,League
40.759055,-73.986211,,,,Theater,League
40.757136,-73.987446,,,,Museums / Galleries,
40.761056,-73.985149,,,,Theater,League
40.756747,-73.988659,,,,Movies,
40.758039,-73.985717,,,,Theater,League
40.756747,-73.988659,,,,Theater,Broadway - Non-League
40.756747,-73.988659,,,,Museums / Galleries,
40.756571,-73.98819,,,,Theater,Nonprofit
40.759713,-73.985854,,,,Theater,Broadway - Non-League
40.757636,-73.985804,,,,Live Music,
40.756181,-73.986244,,,,Museums / Galleries,
40.759974,-73.986428,,,,Theater,League
40.755846,-73.984429,,,,Theater,League
40.756395,-73.98375,,,,Theater,League
40.76068,-73.987287,,,,Movies,
40.755843,-73.984382,,,,Theater,Nonprofit
40.759142,-73.98254,,,,Theater,League
40.759293,-73.984543,,,,Live Music,
40.759543,-73.98437,,,,Theater,Off-Broadway
40.760018,-73.984038,,,,Nightclub,
40.757653,-73.989496,,,,Comedy Club,
40.760487,-73.984648,,,,Nightclub,
,,,,,Theater,League
40.758102,-73.987803,,,,Theater,League
40.755901,-73.988673,,,,Lecture Hall,
40.758898,-73.985796,,,,Theater,League
40.758764,-73.987446,,,,Theater,League
40.758665,-73.987204,,,,Theater,League
40.76307,-73.984091,,,,Theater,League
40.756538,-73.988117,,,,Theater,League
40.762999,-73.983878,,,,Live Music,
40.761566,-73.983944,,,,Theater,League
40.762266,-73.984131,,,,Theater,League
40.758577,-73.986991,,,,Theater,League
40.758956,-73.984775,,,,Theater,League
40.756571,-73.98819,,,,Theater,Off-Broadway
40.758198,-73.986045,,,,Theater,League
40.761012,-73.985001,,,,Theater,League
40.762005,-73.982612,,,,Museums / Galleries,
40.76304,-73.983979,,,,Theater,League
40.762408,-73.983395,,,,Museums / Galleries,
40.760024,-73.986594,,,,Nightclub,
40.760644,-73.984594,,,,Museums / Galleries,
40.756321,-73.987601,,,,Theater,League
40.756571,-73.98819,,,,Theater,Off-Broadway
40.761228,-73.984178,,,,Comedy Club,
,,,,,Nightclub,
